precio,cantidad,descuento,total_venta,categoria_producto,metodo_envio,direccion_cliente,detalle_pedido,comentarios_cliente,descripcion_producto
991.62,1,0.28,3694.29,Ropa,Estándar,"{'calle': 'Calle Norte', 'ciudad': 'CDMX', 'codigo_postal': 71023}","{'metodo_pago': 'Transferencia', 'envio': 'Express'}",rápido rápido rápido malo malo rápido precio calidad defectuoso excelente,precio calidad lento calidad excelente excelente
1289.07,2,0.12,3155.53,Ropa,Estándar,"{'calle': 'Av. Central', 'ciudad': 'CDMX', 'codigo_postal': 15107}","{'metodo_pago': 'PayPal', 'envio': 'Estándar'}",rápido calidad defectuoso recomendado defectuoso calidad defectuoso excelente defectuoso precio lento calidad,defectuoso calidad calidad excelente precio recomendado malo lento
280.94,3,0.04,237.74,Hogar,Estándar,"{'calle': 'Av. Central', 'ciudad': 'Monterrey', 'codigo_postal': 93055}","{'metodo_pago': 'Tarjeta', 'envio': 'Estándar'}",malo lento rápido recomendado calidad precio excelente defectuoso recomendado,lento defectuoso calidad recomendado excelente
1215.27,6,0.28,4206.37,Electrónica,Express,"{'calle': 'Boulevard Sur', 'ciudad': 'CDMX', 'codigo_postal': 71723}","{'metodo_pago': 'PayPal', 'envio': 'Estándar'}",rápido lento malo excelente rápido defectuoso recomendado rápido precio,excelente excelente rápido malo calidad precio defectuoso precio defectuoso rápido malo
1625.46,8,0.16,1258.18,Deportes,Express,"{'calle': 'Boulevard Sur', 'ciudad': 'Monterrey', 'codigo_postal': 38055}","{'metodo_pago': 'Transferencia', 'envio': 'Estándar'}",lento defectuoso defectuoso lento malo malo excelente malo,precio excelente defectuoso malo recomendado lento recomendado precio lento
205.65,1,0.01,2574.33,Deportes,Express,"{'calle': 'Av. Central', 'ciudad': 'Querétaro', 'codigo_postal': 59324}","{'metodo_pago': 'Transferencia', 'envio': 'Express'}",calidad recomendado recomendado rápido recomendado recomendado,recomendado defectuoso excelente excelente recomendado malo rápido calidad calidad defectuoso defectuoso rápido lento defectuoso
1720.1,9,0.01,2426.77,Hogar,Estándar,"{'calle': 'Av. Central', 'ciudad': 'CDMX', 'codigo_postal': 29298}","{'metodo_pago': 'Tarjeta', 'envio': 'Estándar'}",lento defectuoso rápido rápido malo rápido recomendado recomendado excelente calidad,lento defectuoso defectuoso excelente recomendado lento precio recomendado defectuoso rápido rápido
316.87,9,0.09,1305.06,Ropa,Express,"{'calle': 'Av. Central', 'ciudad': 'Querétaro', 'codigo_postal': 67578}","{'metodo_pago': 'Transferencia', 'envio': 'Estándar'}",precio precio rápido defectuoso precio malo malo lento excelente calidad,calidad recomendado precio lento malo recomendado calidad precio recomendado malo calidad recomendado
1381.84,9,0.21,1692.91,Hogar,Express,"{'calle': 'Av. Central', 'ciudad': 'Querétaro', 'codigo_postal': 44443}","{'metodo_pago': 'Tarjeta', 'envio': 'Estándar'}",excelente recomendado rápido precio lento excelente excelente excelente calidad rápido,malo calidad calidad malo defectuoso defectuoso precio recomendado excelente malo recomendado rápido
742.71,3,0.26,4615.91,Deportes,Express,"{'calle': 'Av. Central', 'ciudad': 'Monterrey', 'codigo_postal': 74942}","{'metodo_pago': 'PayPal', 'envio': 'Express'}",precio recomendado excelente malo recomendado precio lento lento,recomendado defectuoso rápido rápido defectuoso precio excelente calidad rápido defectuoso precio precio
989.54,4,0.07,3044.24,Deportes,Estándar,"{'calle': 'Boulevard Sur', 'ciudad': 'Querétaro', 'codigo_postal': 85536}","{'metodo_pago': 'Tarjeta', 'envio': 'Estándar'}",malo rápido recomendado excelente rápido lento defectuoso calidad lento excelente excelente precio,precio recomendado precio lento precio precio precio calidad rápido recomendado precio excelente lento
1355.92,8,0.14,4693.06,Hogar,Express,"{'calle': 'Calle Norte', 'ciudad': 'CDMX', 'codigo_postal': 74128}","{'metodo_pago': 'Tarjeta', 'envio': 'Express'}",excelente rápido rápido defectuoso rápido rápido precio malo recomendado rápido,recomendado calidad malo malo excelente excelente recomendado lento
